Unnamed: 0,set_num,set_year,top_5_similar_sets,set_name,set_img_url,theme_id,theme_name,num_parts,A0A5A9,FFFFFF,C91A09,6C6E68,237841,05131D,184632,AA7F2E,F5CD2F,582A12,F2CD37,E4ADC8,AEEFEC,635F52,F08F1C,FCFCFC,0020A0,84B68D,BBE90B,D9E4A7,0055BF,9CA3A8,F8F184,DF6695,E4CD9E,0A3463,720E0F,FF800D,958A73,898788,352100,3F3691,A5A5CB,DBAC34,3E3C39,A95500,923978,4B9F4A,A5A9B4,ADC3C0,C870A0,AA7D55,9BA19D,6D6E5C,F8BB3D,9B9A5A,36AEBF,AC78BA,9FC3E9,E1D5ED,078BC9,FE8A18,FFF03A,DFEEA5,008F9B,5A93DB,A0BCAC,FF698F,D9D9D9,CFE2F7,D09168,E0E0E0,BBA53D,AA4D8E,1B2A34,F2F3F2,583927,764D3B,6074A1,B46A00,575857,C0F500,68BCC5,F6D7B3,BDC6AD,D67572,81007B,FA9C1C,FFA70B,AE7A59,7DBFDD,EBD800,CE1D9B,8320B7,CCA373,755945,x,y
0,002253963-1,2013,"['71799-1', '41101-1', '71741-1', '41670-1', '41130-1']",Legend of Chima: Corbeaux et Gorilles,https://cdn.rebrickable.com/media/sets/002253963-1.jpg,497,Books,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.7302412198553,332.041788999402
1,0241187567-1,2015,"['71741-1', '71799-1', '41101-1', '41130-1', '71705-1']",Ninjago: Build Your Own Adventure,https://cdn.rebrickable.com/media/sets/0241187567-1.jpg,497,Books,74,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.0667101687289,425.5618369191337
2,0241357594-1,2019,"['71741-1', '71799-1', '41101-1', '71705-1', '41130-1']",Star Wars: Build Your Own Adventure: Galactic Missions,https://cdn.rebrickable.com/media/sets/0241357594-1.jpg,497,Books,70,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.29396671314385,330.72363275787734
3,0756668530-1,2010,"['71741-1', '71799-1', '41101-1', '3315-1', '41130-1']",Atlantis: Brickmaster,https://cdn.rebrickable.com/media/sets/0756668530-1.jpg,497,Books,157,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.09059716746435,493.5442175145129
4,0756672805-1,2009,"['71741-1', '41101-1', '71799-1', '41449-1', '71705-1']",Pirates: Brickmaster,https://cdn.rebrickable.com/media/sets/0756672805-1.jpg,497,Books,162,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.85102816200987,326.54606787459835
5,0756682762-1,2011,"['71741-1', '71799-1', '41101-1', '3315-1', '41130-1']",Ninjago: Brickmaster,https://cdn.rebrickable.com/media/sets/0756682762-1.jpg,497,Books,154,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.85866612925815,420.27902601771893
6,111901-1,2019,"['71705-1', '71737-1', '71708-1', '71767-1', '71765-1']",Garmadon,https://cdn.rebrickable.com/media/sets/111901-1.jpg,435,Ninjago,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.3395431763405,140.68548534471728
7,111902-1,2019,"['71741-1', '75021-1', '9551-1', '7676-1', '71735-1']",Wu,https://cdn.rebrickable.com/media/sets/111902-1.jpg,435,Ninjago,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.5959728070169,149.73506531318776
8,111903-1,2019,"['71705-1', '71737-1', '71708-1', '71739-1', '71767-1']",Kai vs. Wyplash,https://cdn.rebrickable.com/media/sets/111903-1.jpg,435,Ninjago,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.75013781054463,87.29523249824175
9,111904-1,2019,"['71735-1', '75290-1', '71739-1', '71737-1', '71705-1']",Jay vs. Lasha,https://cdn.rebrickable.com/media/sets/111904-1.jpg,435,Ninjago,12,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.10825515161673,147.97750238697438
