,Unnamed: 0,set_num,name,year,num_parts
0,0,001-1,Gears,1965,43
1,1,0011-2,Town Mini-Figures,1979,12
2,2,0011-3,Castle 2 for 1 Bonus Offer,1987,0
3,3,0012-1,Space Mini-Figures,1979,12
4,4,0013-1,Space Mini-Figures,1979,12
5,5,0014-1,Space Mini-Figures,1979,2
6,6,0015-1,Space Mini-Figures,1979,18
7,7,0016-1,Castle Mini Figures,1979,15
8,8,002-1,4.5V Samsonite Gears Motor Set,1965,3
9,9,002253963-1,Legend of Chima: Corbeaux et Gorilles,2013,4
10,10,003-1,Master Mechanic Set,1966,403
11,11,005-1,Basic Building Set in Cardboard,1965,35
12,12,005-2,Discovery Set,1967,0
13,13,00-6,Special Offer,1985,0
14,14,010-1,Basic Building Set in Cardboard,1965,57
15,15,010-2,Pre-School Set,1973,18
16,16,010-3,Basic Building Set,1968,77
17,17,010423-1,The Majestic Horse,2023,0
18,18,01-1,Chain Links,1980,25
19,19,011-1,Basic Building Set,1968,145
20,20,01-2,Bulldozer Chain Links,1982,50
21,21,02-1,Extra Large Tires & Hubs,1982,4
22,22,021-1,Wheel Set,1966,183
23,23,02-2,Digger Bucket Assembly,1980,3
24,24,022-1,Basic Building Set,1968,110
25,25,0241187567-1,Ninjago: Build Your Own Adventure,2015,74
26,26,0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019,70
27,27,028-1,Nursery Furniture,1979,7
28,28,030-2,Building Set,1973,29
29,29,03093-1,The Race to Build It Board Game,1999,77
30,30,03-1,Doors and Fences,1980,10
31,31,032-1,Living Room,1979,14
32,32,033-1,Farm Animals,1979,21
33,33,033-2,Basic Building Set,1968,177
34,34,04-1,Propellers and Wheels,1980,13
35,35,041-1,Pre-School Beginners Set,1964,24
36,36,041-2,Playhouse,1979,1
37,37,042-1,Jumbo Brick Pull Toy,1966,9
38,38,044-1,Basic Building Set,1968,225
39,39,044-2,Jumbo Bricks,1969,30
40,40,045-1,Farm,1979,66
41,41,045-2,Assorted Clear Bricks & Plates,1969,37
42,42,050-2,Lighting Device Pack,1969,4
43,43,05-1,Hinges,1980,3
44,44,051-1,Assorted Basic Bricks - Red,1966,50
45,45,052-1,Assorted Basic Bricks - White,1966,50
46,46,053-1,Assorted Basic Bricks - Blue,1966,50
47,47,054-1,Assorted Basic Bricks - Yellow,1966,50
48,48,055-1,Trees & Bushes,1966,25
49,49,055-2,Basic Building Set,1968,256
50,50,057-1,Large Wheels,1966,17
51,51,058-1,Small Wheels,1966,26
52,52,060-1,Assorted White Plates,1966,15
53,53,060-3,Jumbo Brick School Set,1968,60
54,54,06-1,Motor Wires,1980,6
55,55,061-1,Five Large Base Plates - Green,1966,5
56,56,062-1,Five Large Base Plates - White,1966,5
57,57,063-1,Five Large Base Plates - Blue,1966,5
58,58,063-2,Ducks,1978,18
59,59,065-1,Two Garage Door Kits,1969,6
60,60,066-1,Basic Building Set,1968,407
61,61,07-1,Battery Box,1980,1
62,62,071-1,Block Box,1979,24
63,63,074-1,Pre-School Set,1976,20
64,64,075-1,Pre-School Set,1975,17
65,65,0751359483-1,The Ultimate LEGO Book,1999,0
66,66,0756668530-1,Atlantis: Brickmaster,2010,157
67,67,0756672805-1,Pirates: Brickmaster,2009,162
68,68,0756682762-1,Ninjago: Brickmaster,2011,154
69,69,0756692571-1,Harry Potter: Characters of the Magical World,2012,4
70,70,077-1,Pre-School Set,1975,21
71,71,078-1,Roadway Base Plate,1970,1
72,72,080-1,Basic Building Set with Train,1967,712
73,73,080-2,Ambassador Set,1967,712
74,74,080-3,Police Station,1976,24
75,75,08-1,4.5V Replacement Motor,1982,1
76,76,082-1,Legoville,1976,63
77,77,085-1,Racer,1977,4
78,78,086-1,Tub Boat,1978,3
79,79,088-1,Super Set,1969,615
80,80,09-1,Trees & Flowers,1981,22
81,81,10000-1,Guarded Inn,2001,256
82,82,10000549412-1,Jurassic World - PC DVD,2015,0
83,83,1000-1,Mosaic Set,1985,203
84,84,10001-1,Metroliner,2001,787
85,85,10002-1,Railroad Club Car,2001,293
86,86,1000229927-1,Harry Potter: Years 5-7 - PS Vita,2012,0
87,87,10003-1,1 x 2 Sand Red Bricks,2001,100
88,88,1000368666-1,Batman the Videogame - PSP,2008,0
89,89,10004-1,2 x 2 Sand Red Bricks,2001,100
90,90,1000430096-8,Marvel Super Heroes - PS4,2013,0
91,91,10005-1,2 x 4 Sand Red Bricks,2001,50
92,92,1000565140-1,Jurassic World - Xbox One,2015,0
93,93,1000565190-1,Jurassic World - PS Vita‎,2015,0
94,94,1000565740-1,Marvel Avengers - Xbox One,2016,0
95,95,1000565742-1,Marvel Avengers - PS4,2016,0
96,96,1000565765-1,Marvel Avengers - PS Vita‎,2016,0
97,97,1000565897-5,Marvel Super Heroes - Xbox One,2013,0
98,98,1000577871-1,Marvel Avengers - PC,2016,0
99,99,1000591519-1,Star Wars: The Force Awakens - 3DS,2016,0
100,100,1000591524-1,Star Wars: The Force Awakens - PS Vita,2016,0
101,101,1000598000-1,Star Wars: The Force Awakens Deluxe Edition - PS3,2016,0
102,102,1000600263-1,Star Wars: The Force Awakens - PS3,2016,0
103,103,10006-1,1 x 6 Sand Red Bricks,2001,50
104,104,1000629598-1,Harry Potter Collection - PS4,2016,0
105,105,1000643461-1,Marvel Super Heroes 2 - Xbox One,2017,0
106,106,1000648795-1,Marvel Super Heroes 2 - PS4,2017,0
107,107,1000692713-1,Marvel Super Heroes 2 - Nintendo Switch,2017,0
108,108,1000704831-2,The Incredibles - Nintendo Switch,2019,0
109,109,1000704832-13,The Incredibles - PS4,2019,0
110,110,1000709804-1,DC Super-Villains - Nintendo Switch,2018,0
111,111,1000709806-1,DC Super-Villains - PS4,2018,0
112,112,1000709807-1,The Incredibles - Xbox One,2019,0
113,113,10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,25
114,114,1000724950-1,Harry Potter Collection - Xbox One,2016,0
115,115,1000724951-1,Harry Potter Collection - Nintendo Switch,2016,0
116,116,1000739974-1,The LEGO Movie 2 Videogame - Nintendo Switch,2019,0
117,117,1000739975-1,The LEGO Movie 2 Videogame - PS4,2019,0
118,118,1000739976-1,The LEGO Movie 2 Videogame - Xbox One,2019,0
119,119,1000746530-1,Jurassic World - Nintendo Switch,2015,0
120,120,10008-1,2 x 4 Roof Tile Sand Red,2001,50
121,121,10009-1,Assorted Blue Bricks,2001,62
122,122,100-1,4.5V Motor with Wheels (Small Version),1966,16
123,123,10010-1,Assorted Yellow Bricks,2003,63
124,124,10011-1,Assorted Blue Plates,2001,42
125,125,10012-1,Assorted Yellow Plates,2001,42
126,126,10013-1,Open Freight Wagon,2001,121
127,127,10014-1,Caboose,2001,170
128,128,10015-1,Passenger Wagon,2001,194
129,129,10016-1,Tanker,2001,128
130,130,10017-1,Hopper Wagon,2001,228
131,131,10018-1,Darth Maul,2001,1868
132,132,10019-1,Rebel Blockade Runner,2001,1748
133,133,100-2,4.5V Motor with Wheels (Large Version),1966,27
134,134,10020-1,Santa Fe Super Chief,2002,435
135,135,10020-2,Santa Fe Super Chief - Limited Edition,2002,441
136,136,10021-1,U.S.S. Constellation,2003,975
137,137,10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,411
138,138,10023-1,Master Builder Set,2002,111
139,139,10024-1,Red Baron,2002,670
140,140,10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,326
141,141,10026-1,Naboo Starfighter,2002,188
142,142,10027-1,Train Engine Shed,2003,670
143,143,10029-1,Lunar Lander,2003,469
144,144,10030-1,Imperial Star Destroyer,2002,3116
145,145,10036-1,Pizza To Go,2002,151
146,146,10037-1,Breezeway Cafe,2002,195
147,147,10039-1,Black Falcon's Fortress,2002,430
148,148,10040-1,Black Seas Barracuda,2002,916
149,149,10041-1,Main Street,2003,640
150,150,10042-1,American Flag,2003,35
151,151,10043-1,2x2 Electrical Plate,2002,1
152,152,10044-1,Windows and Doors,2002,44
153,153,10045-1,Pillars and Beams,2002,13
154,154,10046-1,Brown Tiles,2002,100
155,155,10047-1,Light Gray Arches,2002,36
156,156,10048-1,Small Wheels and Axles,2002,61
157,157,10049-1,Large Wheels and Axles,2002,31
158,158,10050-1,Gray Fences,2002,34
159,159,10051-1,Transparent Bricks,2002,50
160,160,10052-1,Intelligent Locomotive (Explore),2003,7
161,161,10053-1,Black Slopes 33,2003,44
162,162,10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,68
163,163,10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,50
164,164,10056-1,White Plates 2 x n,2002,56
165,165,10057-1,Black Plates 2 x n,2002,56
166,166,10058-1,Red Plates 2 x n,2002,56
167,167,10059-1,Dark Green Plates 2 x n,2002,56
168,168,10060-1,Light Gray Plates 2 x n,2002,56
169,169,10061-1,Black Plates 1 x n,2002,84
170,170,10062-1,Red Plates 1 x n,2002,84
171,171,10063-1,Green Plates 1 x n,2002,84
172,172,10064-1,Light Gray Plates 1 x n,2002,84
173,173,10065-1,White Plates 1 x n,2002,84
174,174,10066-1,Castle Accessories,2002,41
175,175,10067-1,Mini-Fig Headgear,2002,53
176,176,10068-1,Santa Claus,2002,39
177,177,10069-1,Christmas Tree,2002,33
178,178,10070-1,Reindeer,2002,26
179,179,10071-1,Mr. Bunny,2003,25
180,180,10072-1,TECHNIC Beams,2003,56
181,181,10073-1,Bushes,2003,130
182,182,10074-1,Cross Axles,2003,68
183,183,10075-1,Spider-Man Action Pack,2002,25
184,184,10076-1,TECHNIC Gear Wheels,2002,40
185,185,10077-1,TECHNIC Motor,2003,55
186,186,10078-1,Train Connection Wire,2003,1
187,187,10079-1,Snowman,2003,42
188,188,10080-1,Angel,2003,33
189,189,10081-1,Birthday Pack Heart,2004,70
190,190,10082-1,Birthday Pack Daisy,2004,70
191,191,10083-1,Birthday Pack Star,2004,70
192,192,100871-1,90 Years of Play Metal Key Chain,2022,0
193,193,10090-1,Turkey,2003,54
194,194,100STORES-1,100 LEGO Stores North America,2019,5
195,195,10-1,Universal Building Set,1976,129
196,196,10106-1,Snowflake,2006,107
197,197,101-1,4.5V Battery Case,1969,1
198,198,1011-1,Number/Symbol Blocks,1976,100
199,199,10111-1,Foliferous Tree,2001,10
200,200,10112-1,Bush,2001,25
201,201,10113-1,Cypress Trees,2001,5
202,202,10114-1,2 x 2 Sand Red Roof Tiles,2001,100
203,203,10115-1,Jumper Bricks,2001,80
204,204,10116-1,Accessories Heart,2004,50
205,205,10117-1,Accessories Daisy,2004,50
206,206,10118-1,Accessories Star,2004,50
207,207,101-2,Imagination Set 1,1971,298
208,208,1012-1,Mosaic Set,1985,34
209,209,10121-1,NBA Basketball Teams,2003,20
210,210,10123-1,Cloud City,2003,707
211,211,10124-1,Wright Flyer,2003,663
212,212,10127-1,NHL Action Set with Stickers,2003,59
213,213,10128-1,Train Level Crossing,2003,327
214,214,10128-2,Train Level Crossing,2005,327
215,215,10129-1,Rebel Snowspeeder,2003,1457
216,216,101-3,4.5V Battery Case,1966,1
217,217,1013-1,Numbers (6 Symbols),1985,0
218,218,10131-1,TIE Fighter Collection,2004,685
219,219,10132-1,Motorized Hogwarts Express,2004,713
220,220,10133-1,Burlington Northern Santa Fe Locomotive,2004,409
221,221,10134-1,Y-wing Attack Starfighter,2004,1490
222,222,10135-1,Holiday Decoration Kit,2004,282
223,223,1014-1,Universal Joints,1982,16
224,224,1014-2,Mosaic Set - Domestic Animals,1985,80
225,225,10143-1,Death Star II,2005,3461
